Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6",0805,6,1uF,C116352
"D1, D2, D3, D4, D5, D6, D7, D8",D_MiniMELF_Handsoldering,8,1N4148,C68883
J1,PinHeader_1x04_P2.54mm_Vertical,1,Oled_128x32_Display,
J2,PinHeader_1x05_P2.54mm_Vertical,1,Right_Connector,
J3,PinHeader_1x05_P2.54mm_Vertical,1,Bottom_Connector,
J4,PinHeader_1x05_P2.54mm_Vertical,1,Left_Connector,
"R1, R10, R12, R13, R14, R2, R6, R7, R8, R9",0805,10,4.7k,C60816
"R11, R3, R4, R5",0805,4,10k,C17414
"SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8",SW_Cherry_MX_1.00u_PCB,8,SW_Push,
U1,XIAO-RP2040-DIP,1,XIAO-RP2040-DIP,
U2,TSSOP-16_4.4x5mm_P0.65mm,1,TCA9546APWR,C201653
