Designator,Mid X,Mid Y,Rotation,Layer
C1,205.6,-47.1,90.0,top
C2,180.6,-39.9,180.0,top
C3,148.0,-78.75,90.0,bottom
C4,194.38,-42.0,180.0,top
C5,179.1,-115.0,180.0,bottom
C6,210.75,-79.0,90.0,bottom
D1,152.0,-64.6,90.0,bottom
D2,152.0,-90.5,90.0,bottom
D3,170.85,-67.8,90.0,bottom
D4,170.85,-86.9,90.0,bottom
D5,161.35,-106.3,90.0,bottom
D6,189.9,-67.85,90.0,bottom
D7,189.8,-87.2,90.0,bottom
D8,189.8,-106.4,90.0,bottom
J1,201.6,-48.5,0.0,top
J2,143.95,-78.7,0.0,top
J3,179.2,-118.05,90.0,top
J4,214.45,-78.7,180.0,top
R1,154.48,-50.3,180.0,bottom
R10,189.38,-43.5,180.0,bottom
R11,200.1,-79.0,0.0,bottom
R12,189.38,-47.0,180.0,bottom
R13,190.6,-52.9,90.0,top
R14,186.4,-50.1,0.0,top
R2,154.48,-53.5,180.0,bottom
R3,179.6425,-42.4,0.0,top
R4,158.1,-79.0,180.0,bottom
R5,179.0,-111.5,90.0,bottom
R6,180.38,-47.0,0.0,bottom
R7,198.88,-46.5,90.0,top
R8,180.38,-43.5,0.0,bottom
R9,195.38,-46.5,90.0,top
SW1,160.15,-67.3225,0.0,top
SW2,160.15,-86.3725,0.0,top
SW3,179.2,-67.3225,0.0,top
SW4,179.2,-86.3725,0.0,top
SW5,169.675,-105.4225,0.0,top
SW6,198.25,-67.3225,0.0,top
SW7,198.25,-86.3725,0.0,top
SW8,198.25,-105.4225,0.0,top
U1,166.38,-48.5,0.0,top
U2,187.38,-43.5,270.0,top
