Designator,Mid X,Mid Y,Rotation,Layer
C1,205.7,-66.0,0.0,bottom
C10,232.3,-75.1,90.0,top
C11,226.3,-62.575,90.0,bottom
C12,195.3,-90.3,180.0,top
C13,160.7,-75.9,90.0,top
C14,196.9,-63.9,180.0,top
C2,207.2,-88.6,270.0,bottom
C3,199.6,-80.4,0.0,bottom
C4,166.7,-70.6,270.0,bottom
C5,175.0,-77.8375,270.0,top
C6,218.95,-77.1375,90.0,top
C7,164.9,-90.2,270.0,bottom
C8,195.0,-77.1,90.0,top
C9,182.77,-85.215,270.0,bottom
D4,229.5,-78.2,270.0,top
D5,209.0,-91.8,0.0,top
D6,160.510854,-84.0,270.0,top
D7,209.0,-62.15,0.0,top
J1,170.0,-62.0,90.0,top
J2,236.1525,-77.45,180.0,top
J3,196.8,-93.75,90.0,top
J4,157.4625,-77.45,0.0,top
J5,196.8,-61.15,90.0,top
Q1,167.8375,-91.05,270.0,bottom
R1,209.8,-88.6,270.0,bottom
R2,172.3,-92.8,180.0,bottom
R3,219.0,-62.575,270.0,bottom
R4,216.0,-64.775,90.0,bottom
R5,229.0,-64.775,270.0,bottom
RV1,196.8,-69.95,0.0,top
RV2,196.8,-84.95,0.0,top
SW4,180.0225,-62.35,0.0,top
U1,197.0,-72.0,270.0,bottom
U2,201.5,-84.5,270.0,bottom
U3,165.6,-77.5,270.0,bottom
U4,171.3,-77.4,90.0,top
U5,222.75,-77.5,270.0,top
U6,199.0,-77.5,270.0,top
U7,186.57,-84.815,90.0,bottom
U8,224.0,-66.975,180.0,bottom
